Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Popularity
Tea for Two,Art Tatum,Piano Starts Here,Art Tatum,1933,1,1,193866,https://p.scdn.co/mp3-preview/6d2640fb03879c1969fea5c455e7079f6dfc2e4d?cid=9950ac751e34487dbbe027c4fd7f8e99,53
Embraceable You,"Sarah Vaughan, Clifford Brown",Sarah Vaughan,Sarah Vaughan,1954-12-01,1,6,291173,,55
Don't Go To Strangers,Etta Jones,Don't Go To Strangers (Rudy Van Gelder Remaster),Etta Jones,1960-01-01,1,2,228360,,55
Midnight Blue - Remastered,Kenny Burrell,Midnight Blue (The Rudy Van Gelder Edition),Kenny Burrell,1963,1,4,242346,,56
A Day In The Life,Wes Montgomery,A Day In The Life,Wes Montgomery,1967-01-01,1,1,349906,,56
Visa från Utanmyra,Jan Johansson,Jazz på svenska,Jan Johansson,1964,1,1,273800,https://p.scdn.co/mp3-preview/faed4e15d6ce914b5185efebca7d48c7733f50c2?cid=9950ac751e34487dbbe027c4fd7f8e99,52
'Round Midnight,Thelonious Monk,"Genius Of Modern Music (Vol.1, Expanded Edition)",Thelonious Monk,1951,1,20,193840,,58
A Nightingale Sang In Berkeley Square,"Stan Getz, Bob Brookmeyer",Recorded Fall '61,"Stan Getz, Bob Brookmeyer",1961-01-01,1,5,419626,,59
I've Grown Accustomed To Her Face - Remastered/1998,Dean Martin,This Time I'm Swingin',Dean Martin,1960,1,8,162866,,55
I Got It Bad And That Ain't Good,Oscar Peterson Trio,Night Train (Expanded Edition),Oscar Peterson Trio,1963-01-01,1,9,306226,,63
They Can't Take That Away from Me (2012 - Remaster),Mel Tormé,Mel Tormé Sings Fred Astaire (2012 - Remaster),Mel Tormé,2012-12-19,1,9,181653,https://p.scdn.co/mp3-preview/3cbcd6ae27eb6f8d0face487457f08de6790c80d?cid=9950ac751e34487dbbe027c4fd7f8e99,35
Stormy Weather,Oscar Peterson,Work From Home with Oscar Peterson,"Oscar Peterson, Oscar Peterson Trio",2020-04-17,1,3,214000,,55
If I Should Lose You,Nina Simone,Wild Is The Wind,Nina Simone,1966-09-16,1,10,235760,,50
Strange Meadow Lark,The Dave Brubeck Quartet,Time Out,The Dave Brubeck Quartet,1959-03-24,1,2,442226,https://p.scdn.co/mp3-preview/32d59d94e41ada4cf15891d7704455b5b2f19f7f?cid=9950ac751e34487dbbe027c4fd7f8e99,49
Almost Like Being In Love,"Red Garland, Paul Chambers, Art Taylor",Red Garland's Piano,Red Garland,1957,1,4,290293,,57
When Sunny Gets Blue,McCoy Tyner,Today And Tomorrow,McCoy Tyner,1964,1,6,282320,,61
Come Rain or Come Shine,Sarah Vaughan,Sarah Vaughan In Hi-Fi,Sarah Vaughan,1949,1,3,203000,https://p.scdn.co/mp3-preview/01e26fd1e9869134129b82e99bec36f9360e7d57?cid=9950ac751e34487dbbe027c4fd7f8e99,47
Turiya & Ramakrishna,Alice Coltrane,Ptah The El Daoud,Alice Coltrane,1996-01-01,1,2,498146,,57
Give Me The Simple Life,Lorez Alexandria,Alexandria The Great,Lorez Alexandria,1964-01-01,1,9,140520,,62
St. Thomas,"Sonny Rollins, Tommy Flanagan, Doug Watkins, Max Roach",Saxophone Colossus,Sonny Rollins,1957-04,1,1,406266,,49
